"bse_dt","etf_iem_cd","mm1_tot_pft_rt","mm3_tot_pft_rt","yr1_tot_pft_rt","etf_sor","etf_z_sor","z_sor_rnk","acl_pft_rt_z_sor","ifo_rt_z_sor","shpr_z_sor","crr_z_sor","trk_err_z_sor","mxdd_z_sor","vty_z_sor"
"20240613",AIYY        ,14.533700,-4.895200,0.000000,13.676284941389,0.000000000000,1110,0.180342651037,0.721370604148,0.090171325518,5.139765554554,98.827772768260,0.450856627592,1.172227231740
"20240717",AIYY        ,2.382000,19.597200,0.000000,13.893617021277,0.000000000000,1129,0.088652482270,1.861702127660,0.177304964539,5.762411347518,98.670212765957,0.354609929078,1.329787234043
"20240528",AIYY        ,-2.215500,-18.196600,0.000000,20.203420342034,3.150315031503,1077,0.090009000900,0.090009000900,0.000000000000,71.557155715572,98.649864986499,0.450045004500,1.350135013501
"20240618",AIYY        ,4.530400,-6.312300,0.000000,13.652291105121,0.000000000000,1114,0.089847259659,0.718778077269,0.089847259659,5.031446540881,98.831985624438,0.449236298293,1.168014375562
"20240712",AIYY        ,-5.802900,5.709800,0.000000,13.651555555556,0.000000000000,1126,0.088888888889,1.422222222222,0.177777777778,4.000000000000,98.844444444444,0.266666666667,1.155555555556
"20240604",AIYY        ,11.860700,-19.917800,0.000000,14.540613718412,0.180505415162,1107,0.180505415162,0.541516245487,0.180505415162,13.898916967509,98.826714801444,0.451263537906,1.173285198556
"20240614",AIYY        ,16.124400,-3.501400,0.000000,13.614968440036,0.000000000000,1110,0.090171325518,0.631199278629,0.090171325518,4.779080252480,98.827772768260,0.450856627592,1.172227231740
"20240823",AIYY        ,-5.082100,-5.477200,0.000000,13.756076388889,0.086805555556,1152,0.086805555556,0.694444444444,0.173611111111,5.989583333333,98.524305555556,0.434027777778,1.475694444444
"20240529",AIYY        ,-2.215500,-18.196600,0.000000,20.232913669065,3.147482014388,1078,0.089928057554,0.089928057554,0.000000000000,71.852517985611,98.651079136691,0.449640287770,1.348920863309
"20240730",AIYY        ,-1.480900,3.264400,0.000000,13.820671378092,0.088339222615,1132,0.176678445230,0.795053003534,0.176678445230,6.360424028269,98.586572438163,0.441696113074,1.413427561837
"20240808",AIYY        ,-14.469200,-9.976100,0.000000,13.518453427065,0.087873462214,1138,0.087873462214,0.351493848858,0.263620386643,3.954305799649,98.506151142355,0.439367311072,1.493848857645
"20240628",AIYY        ,8.516900,-9.733600,0.000000,13.712990936556,0.000000000000,994,0.100704934542,1.309164149043,0.302114803625,4.632426988922,98.892245720040,0.402819738167,1.007049345418
"20240724",AIYY        ,2.768000,9.707100,0.000000,14.506631299735,0.088417329797,1131,0.176834659593,1.237842617153,0.176834659593,12.643678160920,98.673740053050,0.353669319187,1.326259946950
"20240612",AIYY        ,14.180200,-6.309700,0.000000,13.731046931408,0.000000000000,1109,0.180505415162,0.722021660650,0.090252707581,5.685920577617,98.826714801444,0.451263537906,1.173285198556
"20240710",AIYY        ,-3.051500,0.519300,0.000000,13.658666666667,0.000000000000,1126,0.177777777778,1.511111111111,0.266666666667,3.644444444444,98.844444444444,0.355555555556,1.155555555556
"20240813",AIYY        ,-9.817200,-5.653000,0.000000,13.588235294118,0.087796312555,1139,0.087796312555,0.351185250219,0.263388937665,4.653204565408,98.507462686567,0.438981562774,1.492537313433
"20240607",AIYY        ,10.853200,-6.279800,0.000000,13.757000903342,0.000000000000,1108,0.090334236676,0.542005420054,0.090334236676,6.323396567299,98.825654923216,0.451671183379,1.174345076784
"20240610",AIYY        ,8.672200,-9.015700,0.000000,13.683544303797,0.000000000000,1107,0.180831826401,0.632911392405,0.090415913201,5.334538878843,98.824593128391,0.452079566004,1.175406871609
"20240723",AIYY        ,-3.948500,11.951200,0.000000,14.410825199645,0.000000000000,1128,0.088731144632,1.242236024845,0.177462289264,11.801242236025,98.669032830524,0.354924578527,1.330967169476
"20240725",AIYY        ,4.123800,9.278100,0.000000,13.753982300885,0.088495575221,1130,0.088495575221,0.619469026549,0.176991150442,6.106194690265,98.672566371681,0.353982300885,1.327433628319
"20240801",AIYY        ,-4.336800,1.714700,0.000000,13.945374449339,0.088105726872,1135,0.088105726872,0.969162995595,0.176211453744,7.488986784141,98.502202643172,0.440528634361,1.497797356828
"20240703",AIYY        ,-5.352200,-6.470300,0.000000,13.609236234458,0.000000000000,1127,0.177619893428,1.243339253996,0.266429840142,3.641207815275,98.845470692718,0.355239786856,1.065719360568
"20240722",AIYY        ,-3.948500,11.951200,0.000000,14.127659574468,0.000000000000,1129,0.088652482270,1.063829787234,0.177304964539,9.219858156028,98.670212765957,0.354609929078,1.329787234043
"20240621",AIYY        ,3.181400,-7.477300,0.000000,13.600179694519,0.000000000000,1114,0.089847259659,0.539083557951,0.089847259659,4.761904761905,98.831985624438,0.449236298293,1.168014375562
"20240705",AIYY        ,-5.467000,-3.587500,0.000000,13.621333333333,0.000000000000,1126,0.177777777778,1.422222222222,0.177777777778,3.644444444444,98.844444444444,0.355555555556,1.066666666667
"20240809",AIYY        ,-16.121600,-11.930600,0.000000,13.562390158172,0.087873462214,1138,0.087873462214,0.351493848858,0.263620386643,4.393673110721,98.506151142355,0.439367311072,1.493848857645
"20240807",AIYY        ,-14.640400,-9.747000,0.000000,13.603342128408,0.087950747581,1137,0.087950747581,0.263852242744,0.263852242744,4.925241864556,98.504837291117,0.439753737907,1.495162708883
"20240718",AIYY        ,2.127300,20.873500,0.000000,14.202834366696,0.000000000000,1130,0.088573959256,1.417183348096,0.177147918512,9.477413640390,98.671390611160,0.354295837024,1.328609388840
"20240715",AIYY        ,-6.907900,10.686600,0.000000,13.785270629991,0.000000000000,1128,0.088731144632,1.685891748004,0.177462289264,4.968944099379,98.846495119787,0.266193433895,1.153504880213
"20240617",AIYY        ,4.530400,-6.312300,0.000000,13.663660955816,0.000000000000,1110,0.180342651037,0.631199278629,0.090171325518,5.139765554554,98.827772768260,0.450856627592,1.172227231740
"20240603",AIYY        ,11.860700,-19.917800,0.000000,14.514440433213,0.180505415162,1107,0.180505415162,0.451263537906,0.090252707581,13.898916967509,98.826714801444,0.451263537906,1.173285198556
"20240731",AIYY        ,-2.314500,2.522600,0.000000,13.887323943662,0.088028169014,1136,0.176056338028,0.880281690141,0.264084507042,6.778169014085,98.503521126761,0.440140845070,1.496478873239
"20240701",AIYY        ,-4.948100,-7.528700,0.000000,13.609777777778,0.000000000000,1126,0.177777777778,1.244444444444,0.266666666667,3.644444444444,98.844444444444,0.355555555556,1.066666666667
"20240711",AIYY        ,-4.044200,-0.285300,0.000000,13.682666666667,0.000000000000,1126,0.177777777778,1.777777777778,0.177777777778,3.644444444444,98.755555555556,0.355555555556,1.244444444444
"20240531",AIYY        ,9.493300,-21.612700,0.000000,14.410810810811,0.090090090090,1110,0.180180180180,0.180180180180,0.090090090090,13.243243243243,98.828828828829,0.450450450450,1.171171171171
"20240820",AIYY        ,-10.021300,-4.860300,0.000000,13.733856893543,0.087260034904,1146,0.087260034904,0.698080279232,0.174520069808,5.759162303665,98.516579406632,0.436300174520,1.483420593368
"20240726",AIYY        ,-4.182600,1.150800,0.000000,13.783377541998,0.088417329797,1131,0.176834659593,0.618921308576,0.176834659593,6.277630415561,98.673740053050,0.353669319187,1.326259946950
"20240605",AIYY        ,8.724600,-18.265800,0.000000,14.522563176895,0.180505415162,1107,0.180505415162,0.541516245487,0.180505415162,13.718411552347,98.826714801444,0.451263537906,1.173285198556
"20240821",AIYY        ,-3.881800,-4.739900,0.000000,13.725456125109,0.086880973067,1151,0.086880973067,0.781928757602,0.173761946134,5.560382276281,98.523023457863,0.434404865334,1.476976542137
"20240611",AIYY        ,8.672200,-9.015700,0.000000,13.691335740072,0.000000000000,1109,0.180505415162,0.631768953069,0.090252707581,5.415162454874,98.826714801444,0.451263537906,1.173285198556
"20240805",AIYY        ,-9.200400,-6.920700,0.000000,13.618293755497,0.087950747581,1137,0.087950747581,0.527704485488,0.351802990325,4.573438874230,98.504837291117,0.439753737907,1.495162708883
"20240627",AIYY        ,7.958100,-9.597400,0.000000,13.631111111111,0.000000000000,1126,0.088888888889,0.977777777778,0.266666666667,4.355555555556,98.844444444444,0.355555555556,1.066666666667
"20240819",AIYY        ,-10.021300,-4.860300,0.000000,13.791776027997,0.087489063867,1143,0.087489063867,0.787401574803,0.174978127734,6.211723534558,98.512685914261,0.437445319335,1.487314085739
"20240822",AIYY        ,-6.190100,-6.804600,0.000000,13.729800173762,0.086880973067,1151,0.086880973067,0.781928757602,0.260642919201,5.473501303215,98.523023457863,0.434404865334,1.476976542137
"20240827",AIYY        ,-8.560300,1.545500,0.000000,13.808658008658,0.086580086580,1155,0.086580086580,0.692640692641,0.173160173160,6.406926406926,98.528138528139,0.432900432900,1.558441558442
"20240620",AIYY        ,3.181400,-7.477300,0.000000,13.607367475292,0.000000000000,1114,0.089847259659,0.718778077269,0.089847259659,4.582210242588,98.831985624438,0.449236298293,1.168014375562
"20240530",AIYY        ,-3.409900,-23.896700,0.000000,14.631863186319,0.090009000900,1111,0.090009000900,0.270027002700,0.090009000900,15.571557155716,98.739873987399,0.450045004500,1.170117011701
"20240806",AIYY        ,-9.200400,-6.920700,0.000000,13.664907651715,0.175901495163,1136,0.087950747581,0.263852242744,0.263852242744,5.540897097625,98.504837291117,0.439753737907,1.495162708883
"20240826",AIYY        ,-8.560300,1.545500,0.000000,13.808326105811,0.086730268864,1153,0.086730268864,0.867302688638,0.173460537728,6.157849089332,98.525585429315,0.433651344319,1.561144839549
"20240624",AIYY        ,-1.977700,-12.351500,0.000000,13.548561151079,0.000000000000,1113,0.089928057554,0.539568345324,0.089928057554,4.406474820144,98.830935251799,0.359712230216,1.079136690647
"20240729",AIYY        ,-1.480900,3.264400,0.000000,13.846153846154,0.088417329797,1131,0.176834659593,0.972590627763,0.176834659593,6.366047745358,98.585322723254,0.442086648983,1.414677276746
